variant,threads,n,max_iter,tau,tol,iterations,residual,time_sec,schedule,chunk
2,8,10000,20000,0.020000,0.000000,234,0.000000,4.318049,static,0
2,8,10000,20000,0.020000,0.000000,234,0.000000,4.325416,static,1
2,8,10000,20000,0.020000,0.000000,234,0.000000,4.338978,static,16
2,8,10000,20000,0.020000,0.000000,234,0.000000,4.757693,dynamic,1
2,8,10000,20000,0.020000,0.000000,234,0.000000,4.219902,dynamic,16
2,8,10000,20000,0.020000,0.000000,234,0.000000,4.106053,guided,1
2,8,10000,20000,0.020000,0.000000,234,0.000000,4.082388,guided,16
