variant,threads,n,max_iter,tau,tol,iterations,residual,time_sec,schedule,chunk,speedup,efficiency
1,60,10000,20000,0.020000,0.000000,234,0.000000,1.396059,static,0,19.106234,0.318437
1,61,10000,20000,0.020000,0.000000,234,0.000000,1.357384,static,0,19.650615,0.322141
1,62,10000,20000,0.020000,0.000000,234,0.000000,1.329943,static,0,20.056067,0.323485
1,63,10000,20000,0.020000,0.000000,234,0.000000,1.315676,static,0,20.273552,0.321802
1,64,10000,20000,0.020000,0.000000,234,0.000000,1.314141,static,0,20.297235,0.317144
1,65,10000,20000,0.020000,0.000000,234,0.000000,1.284610,static,0,20.763834,0.319444
1,66,10000,20000,0.020000,0.000000,234,0.000000,1.430238,static,0,18.649644,0.282570
1,67,10000,20000,0.020000,0.000000,234,0.000000,1.330543,static,0,20.047025,0.299209
1,68,10000,20000,0.020000,0.000000,234,0.000000,1.958613,static,0,13.618531,0.200273
1,69,10000,20000,0.020000,0.000000,234,0.000000,1.818584,static,0,14.667142,0.212567
1,70,10000,20000,0.020000,0.000000,234,0.000000,2.131318,static,0,12.514994,0.178786
1,71,10000,20000,0.020000,0.000000,234,0.000000,2.684546,static,0,9.935918,0.139943
1,72,10000,20000,0.020000,0.000000,234,0.000000,2.772409,static,0,9.621030,0.133625
1,73,10000,20000,0.020000,0.000000,234,0.000000,2.787691,static,0,9.568288,0.131072
1,74,10000,20000,0.020000,0.000000,234,0.000000,2.693057,static,0,9.904517,0.133845
1,75,10000,20000,0.020000,0.000000,234,0.000000,2.624206,static,0,10.164381,0.135525
1,76,10000,20000,0.020000,0.000000,234,0.000000,2.709277,static,0,9.845221,0.129542
1,77,10000,20000,0.020000,0.000000,234,0.000000,2.402060,static,0,11.104398,0.144213
1,78,10000,20000,0.020000,0.000000,234,0.000000,2.532668,static,0,10.531752,0.135022
1,79,10000,20000,0.020000,0.000000,234,0.000000,2.602353,static,0,10.249736,0.129743
1,80,10000,20000,0.020000,0.000000,234,0.000000,2.668721,static,0,9.994836,0.124935
2,1,10000,20000,0.020000,0.000000,234,0.000000,31.535067,static,0,1.000000,1.000000
2,2,10000,20000,0.020000,0.000000,234,0.000000,15.102404,static,0,2.088083,1.044041
2,3,10000,20000,0.020000,0.000000,234,0.000000,10.160953,static,0,3.103554,1.034518
2,4,10000,20000,0.020000,0.000000,234,0.000000,7.895471,static,0,3.994070,0.998518
2,5,10000,20000,0.020000,0.000000,234,0.000000,6.233325,static,0,5.059108,1.011822
2,6,10000,20000,0.020000,0.000000,234,0.000000,5.304614,static,0,5.944837,0.990806
2,7,10000,20000,0.020000,0.000000,234,0.000000,4.584969,static,0,6.877924,0.982561
2,8,10000,20000,0.020000,0.000000,234,0.000000,3.919978,static,0,8.044705,1.005588
2,9,10000,20000,0.020000,0.000000,234,0.000000,3.438245,static,0,9.171850,1.019094
2,10,10000,20000,0.020000,0.000000,234,0.000000,3.271681,static,0,9.638796,0.963880
2,11,10000,20000,0.020000,0.000000,234,0.000000,3.023199,static,0,10.431026,0.948275
2,12,10000,20000,0.020000,0.000000,234,0.000000,2.927387,static,0,10.772428,0.897702
2,13,10000,20000,0.020000,0.000000,234,0.000000,2.866492,static,0,11.001275,0.846252
2,14,10000,20000,0.020000,0.000000,234,0.000000,2.728706,static,0,11.556784,0.825485
2,15,10000,20000,0.020000,0.000000,234,0.000000,2.590469,static,0,12.173498,0.811567
2,16,10000,20000,0.020000,0.000000,234,0.000000,2.540939,static,0,12.410792,0.775675
2,17,10000,20000,0.020000,0.000000,234,0.000000,2.281893,static,0,13.819696,0.812923
2,18,10000,20000,0.020000,0.000000,234,0.000000,2.269792,static,0,13.893372,0.771854
2,19,10000,20000,0.020000,0.000000,234,0.000000,2.172802,static,0,14.513547,0.763871
2,20,10000,20000,0.020000,0.000000,234,0.000000,2.128693,static,0,14.814285,0.740714
2,21,10000,20000,0.020000,0.000000,234,0.000000,1.973797,static,0,15.976855,0.760803
2,22,10000,20000,0.020000,0.000000,234,0.000000,1.974357,static,0,15.972323,0.726015
2,23,10000,20000,0.020000,0.000000,234,0.000000,1.997513,static,0,15.787166,0.686399
2,24,10000,20000,0.020000,0.000000,234,0.000000,1.937283,static,0,16.277986,0.678249
2,25,10000,20000,0.020000,0.000000,234,0.000000,2.083444,static,0,15.136029,0.605441
2,26,10000,20000,0.020000,0.000000,234,0.000000,2.170479,static,0,14.529081,0.558811
2,27,10000,20000,0.020000,0.000000,234,0.000000,2.046224,static,0,15.411347,0.570791
2,28,10000,20000,0.020000,0.000000,234,0.000000,2.010989,static,0,15.681373,0.560049
2,29,10000,20000,0.020000,0.000000,234,0.000000,2.114385,static,0,14.914533,0.514294
2,30,10000,20000,0.020000,0.000000,234,0.000000,2.487550,static,0,12.677159,0.422572
2,31,10000,20000,0.020000,0.000000,234,0.000000,2.514875,static,0,12.539418,0.404497
2,32,10000,20000,0.020000,0.000000,234,0.000000,2.438412,static,0,12.932624,0.404144
2,33,10000,20000,0.020000,0.000000,234,0.000000,2.372393,static,0,13.292513,0.402803
2,34,10000,20000,0.020000,0.000000,234,0.000000,2.316355,static,0,13.614091,0.400414
2,35,10000,20000,0.020000,0.000000,234,0.000000,2.226473,static,0,14.163686,0.404677
