variant,threads,n,max_iter,tau,tol,iterations,residual,time_sec,schedule,chunk
2,8,10000,20000,0.020000,0.000000,234,0.000000,14.217000,static,0
2,8,10000,20000,0.020000,0.000000,234,0.000000,14.183000,static,1
2,8,10000,20000,0.020000,0.000000,234,0.000000,14.056000,static,16
2,8,10000,20000,0.020000,0.000000,234,0.000000,13.993000,dynamic,1
2,8,10000,20000,0.020000,0.000000,234,0.000000,14.136000,dynamic,16
2,8,10000,20000,0.020000,0.000000,234,0.000000,13.080000,guided,1
2,8,10000,20000,0.020000,0.000000,234,0.000000,17.648000,guided,16
