threads,T_serial,T_parallel,speedup,efficiency
1,0.643581409,0.394973959,1.633201723,1.633201723
2,0.643581409,0.207555101,3.132416596,1.566208298
3,0.643581409,0.137910985,4.704871410,1.568290470
4,0.643581409,0.103638170,6.308728240,1.577182060
5,0.643581409,0.085477954,7.664924216,1.532984843
6,0.643581409,0.073319798,8.945817006,1.490969501
7,0.643581409,0.065561784,10.116898473,1.445271210
8,0.643581409,0.061443961,10.734237258,1.341779657
9,0.643581409,0.059458084,10.983846298,1.220427366
10,0.643581409,0.055949071,11.611478834,1.161147883
11,0.643581409,0.053703708,12.102692488,1.100244772
12,0.643581409,0.052150301,12.485361600,1.040446800
13,0.643581409,0.050590053,12.896715136,0.992055010
14,0.643581409,0.049208953,13.261071617,0.947219401
15,0.643581409,0.048189897,13.540835048,0.902722337
16,0.643581409,0.049210459,13.279072309,0.829942019
17,0.643581409,0.047651564,13.713802803,0.806694283
18,0.643581409,0.047302590,13.833161337,0.768508963
19,0.643581409,0.047229802,13.831042782,0.727949620
20,0.643581409,0.046627227,14.042309037,0.702115452
21,0.643581409,0.047544965,13.825016379,0.658334113
22,0.643581409,0.045980514,14.242381178,0.647380963
23,0.643581409,0.046161244,14.179259010,0.616489522
24,0.643581409,0.046124251,14.200867637,0.591702818
25,0.643581409,0.045412481,14.447914402,0.577916576
26,0.643581409,0.046200645,14.124806916,0.543261804
27,0.643581409,0.045214858,14.485376243,0.536495416
28,0.643581409,0.046381868,14.134174215,0.504791936
29,0.643581409,0.046674529,14.073436574,0.485290916
30,0.643581409,0.046693757,14.067256919,0.468908564
31,0.643581409,0.047388427,13.910351770,0.448721025
32,0.643581409,0.047855502,13.793117498,0.431034922
33,0.643581409,0.047422588,13.790895128,0.417905913
34,0.643581409,0.047782902,13.685610937,0.402517969
35,0.643581409,0.048032161,13.589851042,0.388281458
36,0.643581409,0.047473845,13.803882807,0.383441189
37,0.643581409,0.048211831,13.573022972,0.366838459
38,0.643581409,0.048278427,13.528874536,0.356023014
39,0.643581409,0.047347282,13.804169866,0.353953073
40,0.643581409,0.047060958,13.861551879,0.346538797
